src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
192.168.50.164,44.238.170.136,9524,443,6,2023-07-19 10:54:00,229990.00549316406,704.3784344133819,13.044045081729294,8.696030054486195,4.348015027243098,2,1,108,54,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,54,54,54.0,0.0,0.0,40,20,20,0,114995.00274658203,229792.83332824707,197.1721649169922,114797.83058166504,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,54.0,257,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,0,2,1,108,54
192.168.50.164,192.168.50.200,57036,53,17,2023-07-19 10:54:02,51682.94906616211,4043.886886803768,38.69748217037098,19.34874108518549,19.34874108518549,1,1,75,134,75.0,75.0,75.0,0.0,134.0,134.0,134.0,0.0,134,75,104.5,29.5,870.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,104.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,134.0,0,1,1,75,134
192.168.50.164,192.168.50.200,52138,53,17,2023-07-19 10:54:02,51491.97578430176,5340.637950114135,38.84100327355734,19.42050163677867,19.42050163677867,1,1,75,200,75.0,75.0,75.0,0.0,200.0,200.0,200.0,0.0,200,75,137.5,62.5,3906.25,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,137.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,200.0,0,1,1,75,200
192.168.50.164,13.33.33.217,9555,443,6,2023-07-19 10:54:02,214295.8641052246,13985.337572956603,74.6631301859545,41.99801072959941,32.66511945635509,9,7,1677,1320,571.0,54.0,186.33333333333334,195.63174021047243,533.0,54.0,188.57142857142858,162.09860944398466,571,54,187.3125,181.727377804639,33024.83984375,180,140,20,5,14286.390940348307,47896.8620300293,54.12101745605469,19275.225773238377,179108.8581085205,48938.98963928223,110.86463928222656,22388.607263565063,22255.671899145673,175003.0517578125,83083.8680267334,54.12101745605469,29167.17529296875,31385.395776933412,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,187.3125,64240,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.33333333333334,188.57142857142858,0,9,7,1677,1320
192.168.50.164,192.168.50.200,56722,53,17,2023-07-19 10:54:03,43448.92501831055,4511.043712068833,46.031058286416666,23.015529143208333,23.015529143208333,1,1,74,122,74.0,74.0,74.0,0.0,122.0,122.0,122.0,0.0,122,74,98.0,24.0,576.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,98.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,122.0,0,1,1,74,122
192.168.50.164,192.168.50.200,53482,53,17,2023-07-19 10:54:03,42927.02674865723,5404.520591616727,46.590694755316605,23.295347377658302,23.295347377658302,1,1,74,158,74.0,74.0,74.0,0.0,158.0,158.0,158.0,0.0,158,74,116.0,42.0,1764.0,8,8,8,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,116.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,158.0,0,1,1,74,158
192.168.50.164,54.203.25.147,9556,443,6,2023-07-19 10:54:03,967370.9869384766,11976.790865588418,37.21426472994848,17.57340278914234,19.640861940806143,17,19,4424,7162,1181.0,54.0,260.2352941176471,362.024297106564,1304.0,54.0,376.94736842105266,480.47930824435036,1304,54,321.8333333333333,432.58303634485407,187128.0833333333,340,380,20,8,27639.171055385046,269540.07148742676,0.0,76407.18691320531,697830.9154510498,232720.13664245605,30.040740966796875,43614.43221569061,90285.15862831754,738873.9585876465,270700.93154907227,0.0,41048.55325486925,91942.95448361298,0,0,0,0,1,0,0,0,0,0,0,1.1176470588235294,321.8333333333333,64240,254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2939.0,6.0,3062.0,7.5,4278743.303019784,8587735.772651287,260.2352941176471,376.94736842105266,0,17,19,4424,7162
192.168.50.164,54.203.25.147,9557,443,6,2023-07-19 10:54:03,483081.1023712158,14007.999830223143,31.050686781933965,10.350228927311322,20.700457854622645,5,10,799,5968,571.0,54.0,159.8,205.65252247419676,1304.0,54.0,596.8,576.4421566818305,1304,54,451.1333333333333,527.3129199588756,278058.91555555555,100,200,20,1,34505.793026515414,228136.0626220703,0.0,75859.81815461085,464410.06660461426,233400.1064300537,371.9329833984375,116102.51665115356,106940.68601813597,254945.0397491455,235397.1004486084,0.0,28327.226638793945,73434.04978112705,0,0,0,0,1,0,0,0,0,0,0,2.0,451.1333333333333,64240,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5416.0,7.0,0.0,11358175.232,159.8,596.8,0,5,10,799,5968
192.168.50.164,54.203.25.147,9558,443,6,2023-07-19 10:54:03,698503.9710998535,10598.364943213352,28.63262175662124,11.453048702648497,17.179573053972746,8,12,1087,6316,571.0,54.0,135.875,169.44057771088956,1304.0,54.0,526.3333333333334,549.3017284597682,1304,54,370.15,478.65783969344943,229113.32749999996,160,240,20,2,36763.36689999229,230788.9461517334,0.0,83350.61832963396,698503.9710998535,237532.8540802002,63.89617919921875,99786.28158569336,114807.08835357067,468942.88063049316,239632.84492492676,0.0,42631.17096640847,90204.90281798995,0,0,0,0,1,0,0,0,0,0,0,1.5,370.15,64240,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5416.0,7.0,0.0,9028756.14626391,135.875,526.3333333333334,0,8,12,1087,6316
192.168.50.164,143.244.210.202,9561,443,6,2023-07-19 10:54:05,1288795.9480285645,7212.157994613736,25.605294655433383,11.638770297924264,13.966524357509117,15,18,2719,6576,820.0,54.0,181.26666666666668,209.18746510141466,1304.0,54.0,365.3333333333333,458.4140534979752,1304,54,281.6666666666667,378.0402950036737,142914.46464646462,300,360,20,8,40274.87337589264,300361.87171936035,0.0,84361.52781699796,1130978.8227081299,300943.85147094727,53.16734313964844,80784.20162200928,112039.45739095128,1015322.9236602783,306624.8893737793,0.0,59724.877862369314,101654.10708328371,0,0,0,0,1,0,0,0,0,0,0,1.2,281.6666666666667,64240,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1195.0,4.0,4748.0,5.0,3095857.4922791845,7671246.298921417,181.26666666666668,365.3333333333333,0,15,18,2719,6576
